generation,total_predators,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
139,1,14.323635,1.5,1,0,1.5,1,0,14.323635
140,1,14.1736355,1.5,1,0,1.5,1,0,14.1736355
141,1,14.023636,1.5,1,0,1.5,1,0,14.023636
142,1,15.927418,1.5,1,0,1.5,1,0,15.927418
143,1,15.777418,1.5,1,0,1.5,1,0,15.777418
144,1,15.6274185,1.5,1,0,1.5,1,0,15.6274185
145,1,15.477419,1.5,1,0,1.5,1,0,15.477419
146,1,15.327419,1.5,1,0,1.5,1,0,15.327419
147,1,15.17742,1.5,1,0,1.5,1,0,15.17742
148,1,15.02742,1.5,1,0,1.5,1,0,15.02742
149,1,14.87742,1.5,1,0,1.5,1,0,14.87742
150,1,14.727421,1.5,1,0,1.5,1,0,14.727421
151,1,14.577421,1.5,1,0,1.5,1,0,14.577421
152,1,14.427422,1.5,1,0,1.5,1,0,14.427422
153,1,14.277422,1.5,1,0,1.5,1,0,14.277422
154,1,14.127422,1.5,1,0,1.5,1,0,14.127422
155,1,15.662764,1.5,1,0,1.5,1,0,15.662764
156,1,15.512764,1.5,1,0,1.5,1,0,15.512764
157,1,15.362764,1.5,1,0,1.5,1,0,15.362764
158,1,15.212765,1.5,1,0,1.5,1,0,15.212765
159,1,15.062765,1.5,1,0,1.5,1,0,15.062765
160,1,14.9127655,1.5,1,0,1.5,1,0,14.9127655
161,1,14.762766,1.5,1,0,1.5,1,0,14.762766
162,1,14.612766,1.5,1,0,1.5,1,0,14.612766
163,1,14.462767,1.5,1,0,1.5,1,0,14.462767
164,1,14.312767,1.5,1,0,1.5,1,0,14.312767
165,1,14.162767,1.5,1,0,1.5,1,0,14.162767
166,1,14.012768,1.5,1,0,1.5,1,0,14.012768
167,1,15.800382,1.5,1,0,1.5,1,0,15.800382
168,1,15.650382,1.5,1,0,1.5,1,0,15.650382
169,1,15.500382,1.5,1,0,1.5,1,0,15.500382
170,1,15.350383,1.5,1,0,1.5,1,0,15.350383
171,1,15.200383,1.5,1,0,1.5,1,0,15.200383
172,1,15.050384,1.5,1,0,1.5,1,0,15.050384
173,1,14.900384,1.5,1,0,1.5,1,0,14.900384
174,1,14.750384,1.5,1,0,1.5,1,0,14.750384
175,1,14.600385,1.5,1,0,1.5,1,0,14.600385
176,1,14.450385,1.5,1,0,1.5,1,0,14.450385
177,1,14.300385,1.5,1,0,1.5,1,0,14.300385
178,1,14.150386,1.5,1,0,1.5,1,0,14.150386
179,1,14.000386,1.5,1,0,1.5,1,0,14.000386
180,1,15.570943,1.5,1,0,1.5,1,0,15.570943
181,1,15.420943,1.5,1,0,1.5,1,0,15.420943
182,1,15.270944,1.5,1,0,1.5,1,0,15.270944
183,1,15.120944,1.5,1,0,1.5,1,0,15.120944
184,1,14.970944,1.5,1,0,1.5,1,0,14.970944
