generation,total_organisms,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
194,70441,175255.9,0.60597956,1.3992472,4.670591,42685.805,98564.37,329001.1,2.4879816
195,70332,175568.55,0.6010241,1.402349,4.6660094,42271.227,98630.01,328169.78,2.4962826
196,70300,176174.77,0.5960738,1.4053963,4.662203,41903.99,98799.36,327752.88,2.5060422
197,70355,176061.7,0.59075004,1.4086623,4.65724,41562.22,99106.44,327660.13,2.502476
198,70146,176470.7,0.58488274,1.413063,4.655596,41027.184,99120.72,326571.44,2.5157628
199,70036,176687.1,0.57939416,1.4168525,4.653125,40578.45,99230.68,325886.25,2.5228038
200,69997,176747.81,0.5744944,1.4201534,4.6496615,40212.887,99406.48,325462.38,2.5250769
201,69877,176950.44,0.5693598,1.4238069,4.6471457,39785.152,99491.35,324728.6,2.532313
202,69739,177264.13,0.56353337,1.428192,4.6463776,39300.254,99600.68,324033.72,2.541822
203,69685,177358.22,0.5577657,1.4323485,4.643909,38867.902,99813.2,323610.78,2.545142
204,69550,177352.39,0.5520373,1.4364281,4.6427236,38394.195,99903.57,322901.44,2.5499985
205,69408,177752.92,0.54617584,1.4412347,4.6407337,37908.973,100033.22,322104.06,2.560986
206,69361,178017.39,0.53979146,1.4461322,4.6387615,37440.477,100305.17,321749.13,2.5665343
207,69298,178279.28,0.53424203,1.4504052,4.6364155,37021.906,100510.18,321294.3,2.5726469
208,69186,178662.17,0.5282305,1.4548944,4.633743,36546.156,100658.33,320590.13,2.5823457
209,69159,179105.2,0.52208495,1.4598405,4.6321545,36106.87,100961.11,320355.16,2.5897598
210,69157,179418.55,0.51566124,1.464645,4.629985,35661.586,101290.45,320195.88,2.5943656
211,69154,179623.84,0.5095463,1.4691299,4.6276183,35237.164,101596.21,320018.3,2.597447
212,69055,180197.11,0.50324893,1.4742479,4.6255813,34751.855,101804.19,319419.5,2.6094723
213,69049,180748.11,0.49715894,1.4791166,4.62467,34328.33,102131.516,319328.84,2.6176789
214,69010,181218.25,0.49114373,1.4836243,4.622174,33893.83,102384.914,318976.22,2.6259708
215,69019,181706.97,0.484653,1.4883078,4.61953,33450.266,102721.516,318835.34,2.6327093
216,69008,182351.1,0.4788359,1.4928808,4.617003,33043.508,103020.72,318610.16,2.6424632
217,69023,182657.83,0.47238463,1.4975216,4.6148424,32605.404,103363.44,318530.28,2.6463327
218,68888,183594.69,0.46601862,1.5024027,4.6133265,32103.09,103497.516,317802.84,2.6651185
219,68978,184010.52,0.46047235,1.5066351,4.6117144,31762.46,103924.67,318106.84,2.6676695
220,68958,184922.89,0.45475423,1.5112792,4.609919,31358.943,104214.8,317890.8,2.6816742
221,69100,185616.47,0.44910836,1.5154196,4.6061597,31033.389,104715.49,318285.63,2.6862006
222,69184,186449.44,0.4431286,1.5196853,4.602973,30657.408,105137.91,318452.1,2.6949792
223,69345,187446.8,0.4368619,1.5243145,4.59986,30294.19,105703.59,318977.3,2.7031047
224,69485,188419.58,0.43113875,1.5285429,4.5970697,29957.676,106210.805,319427.38,2.7116582
225,69641,189212.97,0.42574292,1.5321575,4.5922847,29649.162,106700.984,319811.3,2.7169766
226,69791,190430.97,0.42016676,1.5363492,4.5889406,29323.86,107223.34,320266.75,2.7285893
227,69961,191410.19,0.4152109,1.5403364,4.586924,29048.57,107763.47,320905.78,2.7359555
228,70093,192751.83,0.40948573,1.5447526,4.5844088,28702.084,108276.34,321334.97,2.749944
229,70377,193711.2,0.40430796,1.5484452,4.581366,28453.982,108974.93,322422.8,2.7524788
230,70503,195095.75,0.39909485,1.5525523,4.5783076,28137.385,109459.59,322784.4,2.7671978
231,70808,196307.56,0.39408246,1.5568129,4.5746856,27904.191,110234.805,323924.34,2.7723925
232,71027,197722.34,0.38898486,1.5607086,4.5723767,27628.428,110852.45,324762.22,2.7837632
233,71280,198969.9,0.38395786,1.5646251,4.571763,27368.516,111526.484,325875.28,2.7913847
234,71538,200133.94,0.37865424,1.568657,4.569902,27088.168,112218.586,326921.66,2.7975893
235,71726,201445.02,0.3734383,1.5727595,4.56806,26785.236,112807.75,327648.66,2.8085356
236,71967,202879.89,0.36859918,1.5763243,4.566693,26526.977,113443.336,328651.2,2.8190684
237,72161,204081.42,0.36396098,1.57977,4.5668583,26263.79,113997.78,329549.06,2.8281403
238,72263,205295.33,0.35882583,1.583674,4.567282,25929.832,114441.03,330045.5,2.8409467
239,72473,206524.03,0.35350752,1.5876025,4.5675473,25619.75,115058.31,331023.84,2.8496685
240,72646,207826.2,0.34835458,1.5916821,4.566147,25306.566,115629.336,331712.3,2.8608072
241,72867,209254.8,0.34288508,1.596019,4.5659204,24985.008,116297.12,332704.9,2.871736
242,73136,210773.55,0.3374732,1.600044,4.5654283,24681.441,117020.82,333897.16,2.8819396
243,73439,212266.55,0.33236873,1.603486,4.5648546,24408.828,117758.41,335238.38,2.890379
244,73727,213640.81,0.32733226,1.6071516,4.5646243,24133.225,118490.47,336536.06,2.8977282
245,73928,214987.63,0.3230554,1.610246,4.565851,23882.838,119042.266,337544.25,2.9080677
246,74170,216562.84,0.31951547,1.6131712,4.5666575,23698.463,119648.91,338709,2.9198172
247,74450,218159.45,0.31564957,1.615961,4.5664897,23500.111,120308.3,339975.16,2.9302814
248,74690,219685.39,0.31154898,1.6188834,4.5663605,23269.594,120914.4,341061.47,2.9412959
249,74941,221162.14,0.3075351,1.621775,4.567617,23046.988,121537.445,342301.78,2.9511502
250,75194,222280.42,0.30371872,1.6246959,4.5690365,22837.824,122167.38,343564.13,2.9560926
